"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAF281_006";"Network cable";"";
"ATT_0173_1_02_AAC133_009";"False";"";
"ATT_0173_1_02_AAB734_008";"False";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAD656_010";"True";"";
"ATT_0173_1_02_AAW068_003";"False";"";
"ATT_0173_1_02_BAA419_008";"0.14";"";
"ATT_0173_1_02_BAD993_011";"True";"";
"TraceParts.PartNumber";"90-09022024-042367";"";
"ATT_0173_1_02_AAO663_005";"4046356474849";"";
"DESIGN";"Network cable";"";
"ATT_0173_1_02_AAW072_003";"False";"";
"ATT_0173_1_02_AAW071_003";"False";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"VS-IP20-OE-94F-LI/2,0";"";
"ATT_0173_1_02_AAP798_003";"not available";"";
"REFERENCE";"1415255";"";
"ATT_0173_1_02_AAM076_006";"False";"";
"TraceParts.PartVersion";"1.0.8";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAB392_019";"EAC";"";
"TraceParts.InstanceId";"90-09022024-042367DWJ722TDGAOHQLKSLQV7AKWO0";"";
